time,q1,q2,q3,q4,q5,q6,q1d,q2d,q3d,q4d,q5d,q6d
0,0,0,0,0,0,0,-6.24500451351651e-17,1.04083408558608e-16,-2.08166817117217e-17,-2.08166817117217e-17,-5.55111512312578e-17,0
0.1,-0.000118742973263086,-0.000359029516279252,0.000359358271006943,2.34501398413411e-05,-0.000414388537830879,0.00016381956692009,-0.00359112530625144,-0.0107375157943208,0.0107894669276351,0.000806922192223392,-0.0126777090968146,0.00459499962570506
0.2,-0.000973459376045399,-0.00281829108066123,0.00285739121819528,0.000256273028147236,-0.00348496698172474,0.00104654591280169,-0.0148401031139282,-0.0414658473123313,0.042442438527005,0.00438379508471152,-0.0536916347093448,0.0129905206698989
0.3,-0.00336569405298592,-0.00915161219257798,0.00942190045793231,0.000994262300957699,-0.0121385449118157,0.00260633403580843,-0.0344515827771181,-0.0870663606617235,0.0912090940585297,0.0106978447655192,-0.12411279067377,0.0167413018231506
0.4,-0.00816079327665892,-0.0204508179098385,0.021441202192031,0.00240626786167358,-0.0291641936036357,0.00397873254114658,-0.0629596593077256,-0.139173486851207,0.150156478593045,0.0172513511588234,-0.220069423283754,0.00807817267010059
0.5,-0.0162587417020222,-0.0368553513883375,0.0394850855291935,0.00429951866547526,-0.0567175275780908,0.00361283685606807,-0.100478031387219,-0.187331307448992,0.210021962245097,0.0194096538182234,-0.332842614546497,-0.0187553988904863
0.6,-0.0285385296056928,-0.0574157243893533,0.0631293289404855,0.00594407920565135,-0.0958717972303554,-0.000472352879850771,-0.146428968502639,-0.220482743122269,0.260407485263147,0.0112410891980998,-0.449702450699359,-0.0664657736835615
0.7,-0.0457765970850565,-0.0801141335157223,0.0909101696648857,0.00600175381820314,-0.146286713414968,-0.0103494139544912,-0.199305208831305,-0.228587025200564,0.291155196825799,-0.0132626562892333,-0.555404295630698,-0.134124142685404
0.8,-0.0685454058794469,-0.102043887108059,0.120417856078108,0.0025878154203296,-0.206052760663498,-0.0278120920667021,-0.256519230767432,-0.204140954682732,0.293722564025573,-0.0587886708325784,-0.634164900837106,-0.217122099418534
0.9,-0.0971032708184237,-0.119727109268777,0.148520115162158,-0.00652866199720897,-0.271746612464637,-0.054028237159178,-0.314385611215403,-0.14339002939588,0.262377042948717,-0.127370530298807,-0.67186056646734,-0.307677914664871
1,-0.131290372677688,-0.129530571305125,0.171689478084645,-0.0236048333311843,-0.338704988306349,-0.0892683345774398,-0.368265351481039,-0.0470556349844522,0.195056150086496,-0.217366741593653,-0.658146099806819,-0.395824406805682
1.1,-0.170447662980505,-0.128125168580705,0.186395124608213,-0.0505264006221802,-0.401493696477398,-0.132751378365863,-0.412878322929985,0.0795311320867881,0.0937842601875431,-0.322957596702401,-0.588191096042353,-0.470739978934665
1.2,-0.213374721407638,-0.112927529576792,0.189511896272493,-0.0883915557899701,-0.454519939849877,-0.182633312472175,-0.442764527048366,0.22691845702222,-0.0354038582779634,-0.434295856321163,-0.463770617891261,-0.522234808375121
1.3,-0.258339447235832,-0.0824635455143263,0.178697310208084,-0.13714472906952,-0.492713326863877,-0.236143079636255,-0.452850365530589,0.382590306325208,-0.183019021779982,-0.538349703602729,-0.293526203613843,-0.542181335198565
1.4,-0.303147039896011,-0.0366031418354063,0.152691854253642,-0.195326810128634,-0.512187800360081,-0.289850336557693,-0.439056257853524,0.532457156259383,-0.337079181831438,-0.620368777741927,-0.0923203292184825,-0.525685318572972
1.5,-0.345268678159109,0.0233678496957651,0.111507801677845,-0.259996364704025,-0.510795027301472,-0.340030097961759,-0.398869869408579,0.662587180378247,-0.484353811529315,-0.665801844073242,0.120271161166057,-0.471829785644807
1.6,-0.382022537834513,0.0948515081978811,0.0564857878427992,-0.326854929405372,-0.488490289774006,-0.383075630738939,-0.331807058867684,0.76094947203337,-0.61173707417076,-0.662413443331447,0.322165007760834,-0.383884068724711
1.7,-0.410792338131741,0.174206814917492,-0.00978550460223362,-0.390581515095226,-0.447453522838483,-0.415903813511751,-0.239691215838038,0.818936931623692,-0.707585377131455,-0.602299662281985,0.491410828479236,-0.268945331748654
1.8,-0.429262526573916,0.257151186325626,-0.0836751507202203,-0.445350847912289,-0.391938243693913,-0.436297920139603,-0.126700247551755,0.832463915334608,-0.762866084597514,-0.483498304245774,0.608934303778379,-0.137059884183055
1.9,-0.435645409166903,0.339243985537403,-0.160815926247651,-0.485481030890813,-0.327855868694943,-0.443141280874854,0.000843034469784509,0.802489051987922,-0.771994437273546,-0.310928560692373,0.661027370112756,5.51286254744492e-05
2,-0.428874640591837,0.41639014681401,-0.236474871660441,-0.506133535018165,-0.262137756754118,-0.436510329261843,0.134930268957973,0.734889418249704,-0.733280186790761,-0.0964756900382307,0.641252364625185,0.130512743975688
