sim_time_s,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,tau1,tau2,tau3,tau4,tau5,tau6
0.320000015,0.010689199,-1.557705283,0.00317274,-1.56536901,0.001486861,0.01368974,0.046545542,0.151347756,0.093530149,0.049192914,-0.027829151,0.1599033,0.578562696,0.22967468,-0.345195569,0.423010258,0.341400205,-0.325025125,0.816865444,-0.583516359,-1.351459384,-0.345139384,0.453453064,-0.269287705
0.340000016,0.011847675,-1.554615378,0.004882499,-1.56398046,0.001128958,0.016759766,0.059285507,0.154510709,0.085351569,0.067526202,-0.019988543,0.151188698,0.663080935,0.149678906,-0.456520572,0.715162515,0.422623807,-0.520080631,1.293250442,-3.256809711,-2.72935915,-0.563404799,0.599694729,-0.314955115
0.360000017,0.013283491,-1.551437736,0.006407618,-1.562649131,0.001075139,0.019646181,0.073311897,0.157020351,0.075031569,0.080314822,-0.009877814,0.139221104,0.727496596,0.103759335,-0.536450561,0.826030685,0.490839763,-0.69028207,1.637913465,-5.277938843,-3.78034234,-0.695092261,0.687870085,-0.357171834
0.380000018,0.015014619,-1.548183799,0.007702499,-1.561367393,0.001260401,0.022277905,0.088236165,0.159430006,0.063327284,0.086569128,0.00182555,0.124386576,0.770295427,0.092002102,-0.583154852,0.767428975,0.540814817,-0.836225333,1.844631314,-6.58356905,-4.45801878,-0.760069013,0.736710966,-0.39497903
0.400000019,0.017050475,-1.544861197,0.008747264,-1.560097098,0.001628747,0.024587883,0.10368752,0.162184809,0.051017441,0.086811395,0.014315794,0.106993389,0.791623477,0.111333131,-0.595944808,0.583192398,0.56779389,-0.959725078,1.919891953,-7.127969265,-4.764476776,-0.779640973,0.757896841,-0.427580297
0.42000002,0.01939854,-1.541489005,0.009541049,-1.55881536,0.002147013,0.026516391,0.119323195,0.165631036,0.038858069,0.082637602,0.026782189,0.087303022,0.79295646,0.156570421,-0.575420015,0.334718442,0.56847913,-1.062891881,1.857682109,-6.88624382,-4.711195946,-0.761438727,0.755813718,-0.45436582
0.440000021,0.022063762,-1.538044333,0.010093614,-1.557518363,0.002807954,0.028012885,0.134832952,0.170037726,0.027545692,0.076179715,0.038507791,0.065571202,0.776689454,0.221546076,-0.523572061,0.085672593,0.541738195,-1.147373859,1.663335443,-5.950211525,-4.323484898,-0.704154432,0.72800988,-0.474906296
0.460000022,0.025041372,-1.53450048,0.010432645,-1.556190848,0.003622757,0.029037369,0.149940412,0.175620373,0.017688656,0.069594453,0.048929526,0.042086871,0.745729402,0.300086511,-0.443793416,-0.110947124,0.488906725,-1.213881422,1.356691837,-4.436563492,-3.653020144,-0.608537257,0.669166625,-0.488930643
0.480000023,0.028320104,-1.53083837,0.010598226,-1.554836631,0.004604005,0.029559446,0.164403561,0.182559128,0.009786463,0.06466864,0.057658606,0.017200075,0.70315349,0.386708614,-0.340765296,-0.221265197,0.413656943,-1.262045144,0.958364487,-2.448676825,-2.760975361,-0.475673139,0.576503098,-0.496318668
0.500000024,0.031885475,-1.527023673,0.010632946,-1.553436637,0.00575132,0.029559089,0.178016072,0.19100758,0.004216471,0.062586856,0.064470044,-0.008666101,0.651968985,0.476974246,-0.22022619,-0.233679442,0.321500313,-1.29058708,0.487876773,-0.111805201,-1.70396924,-0.317200899,0.452527583,-0.497117788
