time,q1,q2,q3,q4,q5,q6,q1d,q2d,q3d,q4d,q5d,q6d
0,0,0,0,0,0,0,-5.32907051820075e-15,8.88178419700125e-15,1.06581410364015e-14,1.06581410364015e-14,1.06581410364015e-14,-3.5527136788005e-15
0.1,0.000391082719870539,0.000356021991832378,0.000261179854857296,0.000588091401906965,0.00062189122278955,0.000291839691916346,0.0113022532447236,0.0103728372559289,0.00720085851236263,0.0168065175322845,0.0180193857185209,0.0084052271423154
0.2,0.00279450903931266,0.00261123198806157,0.00160307326630349,0.00405470052666956,0.0044738562561113,0.00206461522944146,0.038679084624702,0.0368909013873449,0.0193982662054566,0.0545147664285608,0.0621865084441353,0.0283674906429106
0.3,0.00837481296828635,0.00807425400158168,0.00391635277895097,0.0116252086806501,0.0134726177364497,0.0061237873081823,0.0735520963320351,0.0736509047794218,0.0249766459443741,0.0963598324248558,0.118819248811372,0.0531338141876283
0.4,0.0175251862363863,0.0175251319449314,0.00610141739024712,0.0230130397080073,0.0282571967429912,0.0126751248331676,0.109094196670423,0.115956713730146,0.015760866653217,0.128914752809308,0.17611115325991,0.0774619129687082
0.5,0.0300473117793523,0.0313271614755948,0.00641393045388838,0.0367649345707233,0.0483945331167823,0.0214744328957357,0.140306584983497,0.160136882985297,-0.0129831802016227,0.142292803096474,0.224475955853192,0.0975842870126833
0.6,0.0453337896092028,0.0495193314864169,0.00280171403607099,0.0506181722690203,0.0726142662114469,0.0319710068600507,0.16399398369685,0.203342270721983,-0.0627208235140237,0.130183539081951,0.256783227928356,0.111119169014167
0.7,0.0625431950333186,0.0718882693016978,-0.00678375031867251,0.0618530927503542,0.0990609936384625,0.0434397033559115,0.178643452002209,0.243341401633955,-0.131981359338425,0.0897237855199258,0.268470441850063,0.116932921196764
0.8,0.0807586419865465,0.0980203135050481,-0.0241162465611335,0.0676248673047266,0.125551224772932,0.0550971193535137,0.184217995454926,0.278330299920865,-0.216829448153049,0.0212140986300042,0.257524264588143,0.114961235042134
0.9,0.0991221069729211,0.127335913239309,-0.0504766014165128,0.0652599527032294,0.149821925232094,0.0661982263215144,0.181881247667134,0.306771383370661,-0.311445184463938,-0.0723001777100407,0.224331890445708,0.105998811039743
1,0.116938603920682,0.159109862346344,-0.0864964142528137,0.052504956792875,0.169758029758563,0.0761108667462072,0.173673433786249,0.327272867478799,-0.408776644650462,-0.185556799557983,0.171411179951281,0.091468940265619
1.1,0.133746461803505,0.192481831200952,-0.132069003551923,0.027718588314098,0.183587555276595,0.0843667214713406,0.162161394497394,0.338516214750587,-0.501224786158783,-0.311681325413975,0.10303579532418,0.0731854685696707
1.2,0.149352300585989,0.226462195566159,-0.18632872885348,-0.00999922226886341,0.190034896244736,0.0906886262269602,0.150086506820639,0.339234769469964,-0.581319152003068,-0.442832835153666,0.024777946697311,0.0531199327255312
1.3,0.163831672461227,0.259938248038822,-0.247695729363715,-0.0607432716883878,0.188425410057071,0.0949953780005188,0.140033834695855,0.328242163394242,-0.642344001546862,-0.570853389541579,-0.0570036155868419,0.0331861977475594
1.4,0.17749858010204,0.29168551418776,-0.313979245691119,-0.123802635799864,0.178737344293133,0.0973863507581427,0.134143829260136,0.304504693053513,-0.678878152235606,-0.687884728901079,-0.135699424141503,0.0150537249303415
1.5,0.19084905736566,0.320388115351061,-0.382529298037738,-0.197718837564246,0.161600336934452,0.0981092648838562,0.133884523267051,0.267247971248137,-0.687217732026992,-0.786918656625026,-0.204976617312179,-1.26399963207291e-06
1.6,0.204485575368752,0.344670986396581,-0.450423789590882,-0.280394518976546,0.138242937281086,0.0975152646034978,0.139897660190471,0.216085025941299,-0.665658823470366,-0.86225246127465,-0.259266081193465,-0.0111998738296322
1.7,0.219030119974025,0.363145358363123,-0.514676250247224,-0.369241955207858,0.110394648830754,0.096006005009567,0.151926871156066,0.151150887368621,-0.614626127183907,-0.909827269857431,-0.294180339721461,-0.0183158321833528
