"M[1,1]","M[1,2]","M[1,3]","M[1,4]","M[1,5]","M[1,6]","M[2,1]","M[2,2]","M[2,3]","M[2,4]","M[2,5]","M[2,6]","M[3,1]","M[3,2]","M[3,3]","M[3,4]","M[3,5]","M[3,6]","M[4,1]","M[4,2]","M[4,3]","M[4,4]","M[4,5]","M[4,6]","M[5,1]","M[5,2]","M[5,3]","M[5,4]","M[5,5]","M[5,6]","M[6,1]","M[6,2]","M[6,3]","M[6,4]","M[6,5]","M[6,6]"
10.8633591177382,-0.504858497949409,-0.14118495787718,0.00458616694006929,0.0169688960609326,-0.000152100433818004,-0.504858497949409,11.2606566480205,4.35244644992347,0.326665148857864,-0.0153534341822581,0.000136660858022835,-0.14118495787718,4.35244644992347,2.08512913309645,0.178809994025488,-0.00814613315582398,0.000136660858022835,0.00458616694006929,0.326665148857864,0.178809994025488,0.0424668902185253,-0.00149010950377362,0.000136660858022835,0.0169688960609326,-0.0153534341822581,-0.00814613315582398,-0.00149010950377362,0.007366573775595,-2.34322233095831e-16,-0.000152100433818004,0.000136660858022835,0.000136660858022835,0.000136660858022835,-2.34322233095831e-16,0.000204525
10.8918585129779,-0.496630555446962,-0.138839147059329,0.00509437736158047,0.0169704305034196,-0.000152757454852333,-0.496630555446962,11.2590754163472,4.351262168024,0.325919535474825,-0.0152335012075544,0.000135861717667941,-0.138839147059329,4.351262168024,2.0843418009708,0.178420622020704,-0.00808248137670851,0.000135861717667941,0.00509437736158047,0.325919535474825,0.178420622020704,0.0424754783346113,-0.00148139591412616,0.000135861717667941,0.0169704305034196,-0.0152335012075544,-0.00808248137670851,-0.00148139591412616,0.007366573775595,-2.32592775560571e-16,-0.000152757454852333,0.000135861717667941,0.000135861717667941,0.000135861717667941,-2.32592775560571e-16,0.000204525
10.9189224593685,-0.488722509098142,-0.136504377535181,0.00558652495143019,0.0169701974078375,-0.000153362419463791,-0.488722509098142,11.2575458775275,4.35011749679986,0.325185857524176,-0.0151180215926815,0.000135095462249752,-0.136504377535181,4.35011749679986,2.08358199734224,0.178044813911822,-0.00802150096012372,0.000135095462249752,0.00558652495143019,0.325185857524176,0.178044813911822,0.042483665745404,-0.00147304089208484,0.000135095462249752,0.0169701974078375,-0.0151180215926815,-0.00802150096012372,-0.00147304089208484,0.007366573775595,-2.30849483692578e-16,-0.000153362419463791,0.000135095462249752,0.000135095462249752,0.000135095462249752,-2.30849483692578e-16,0.000204525
10.9445215460644,-0.481158322671573,-0.134185098250084,0.00606206737070901,0.0169684035993831,-0.000153918123535069,-0.481158322671573,11.2560726997842,4.34901588480755,0.324465230710923,-0.0150069740832812,0.000134361713274864,-0.134185098250084,4.34901588480755,2.08285195110087,0.177683689130329,-0.0079631988170885,0.000134361713274864,0.00606206737070901,0.324465230710923,0.177683689130329,0.0424914624237875,-0.00146504031066973,0.000134361713274864,0.0169684035993831,-0.0150069740832812,-0.0079631988170885,-0.00146504031066973,0.007366573775595,-2.29092443235587e-16,-0.000153918123535069,0.000134361713274864,0.000134361713274864,0.000134361713274864,-2.29092443235587e-16,0.000204525
10.9686593529385,-0.473951057612529,-0.131883935965038,0.00652143436915067,0.0169649578477969,-0.000154426154023922,-0.473951057612529,11.2546548880129,4.34795674253128,0.323756721772391,-0.0149003791757795,0.000133661231232492,-0.131883935965038,4.34795674253128,2.08215147831964,0.177337154526013,-0.00790759890230009,0.000133661231232492,0.00652143436915067,0.323756721772391,0.177337154526013,0.0424988659963843,-0.00145740246202992,0.000133661231232492,0.0169649578477969,-0.0149003791757795,-0.00790759890230009,-0.00145740246202992,0.007366573775595,-2.27322435157077e-16,-0.000154426154023922,0.000133661231232492,0.000133661231232492,0.000133661231232492,-2.27322435157077e-16,0.000204525
10.9913703634688,-0.467105967910266,-0.129604873775748,0.00696349949808952,0.0169601399228229,-0.000154888692955272,-0.467105967910266,11.2532989168297,4.34694526571889,0.323064023684774,-0.0147984110948204,0.000132994458196372,-0.129604873775748,4.34694526571889,2.08148449587811,0.177007168976976,-0.00785479078807997,0.000132994458196372,0.00696349949808952,0.323064023684774,0.177007168976976,0.0425058773398476,-0.00145013216640642,0.000132994458196372,0.0169601399228229,-0.0147984110948204,-0.00785479078807997,-0.00145013216640642,0.007366573775595,-2.25541338630272e-16,-0.000154888692955272,0.000132994458196372,0.000132994458196372,0.000132994458196372,-2.25541338630272e-16,0.000204525
11.0128347124381,-0.460584495114725,-0.127335479468566,0.00738983010622003,0.016953887439357,-0.000155307990417569,-0.460584495114725,11.2520034352382,4.34598104307157,0.322386953492543,-0.0147009832376955,0.000132360917787566,-0.127335479468566,4.34598104307157,2.080851532175,0.176694001828065,-0.00780474030217995,0.000132360917787566,0.00738983010622003,0.322386953492543,0.176694001828065,0.0425125067451337,-0.00144322422950446,0.000132360917787566,0.016953887439357,-0.0147009832376955,-0.00780474030217995,-0.00144322422950446,0.007366573775595,-2.23748167781764e-16,-0.000155307990417569,0.000132360917787566,0.000132360917787566,0.000132360917787566,-2.23748167781764e-16,0.000204525
11.0329515342119,-0.454431854178413,-0.125083608398391,0.00779909979816531,0.0169464237962681,-0.000155686251235461,-0.454431854178413,11.2507714503536,4.34506724492885,0.321727300923204,-0.0146081844128582,0.000131760991363316,-0.125083608398391,4.34506724492885,2.08025592077414,0.176399320370473,-0.00775752118024717,0.000131760991363316,0.00779909979816531,0.321727300923204,0.176399320370473,0.042518755230803,-0.00143668280953038,0.000131760991363316,0.0169464237962681,-0.0146081844128582,-0.00775752118024717,-0.00143668280953038,0.007366573775595,-2.2194445622834e-16,-0.000155686251235461,0.000131760991363316,0.000131760991363316,0.000131760991363316,-2.2194445622834e-16,0.000204525
11.0517118379821,-0.448662064937976,-0.12285320938827,0.00819163590029392,0.0169376957209662,-0.000156025210557926,-0.448662064937976,11.2495973103982,4.34420073085797,0.321084025293524,-0.0145199854362953,0.000131195036156748,-0.12285320938827,4.34420073085797,2.07969703258773,0.176122810597805,-0.00771312499211663,0.000131195036156748,0.00819163590029392,0.321084025293524,0.176122810597805,0.0425246238718776,-0.00143051180164838,0.000131195036156748,0.0169376957209662,-0.0145199854362953,-0.00771312499211663,-0.00143051180164838,0.007366573775595,-2.20130660080535e-16,-0.000156025210557926,0.000131195036156748,0.000131195036156748,0.000131195036156748,-2.20130660080535e-16,0.000204525
11.0691378641881,-0.443280147966194,-0.12064843583733,0.00856680496502369,0.0169279588795793,-0.000156327640409171,-0.443280147966194,11.2484803060353,4.34338222527543,0.320459347380104,-0.0144363881884493,0.000130662485391532,-0.12064843583733,4.34338222527543,2.0791770257856,0.175865556789841,-0.00767154674548408,0.000130662485391532,0.00856680496502369,0.320459347380104,0.175865556789841,0.0425301230580801,-0.00142470502589726,0.000130662485391532,0.0169279588795793,-0.0144363881884493,-0.00767154674548408,-0.00142470502589726,0.007366573775595,-2.18307985809364e-16,-0.000156327640409171,0.000130662485391532,0.000130662485391532,0.000130662485391532,-2.18307985809364e-16,0.000204525
