time,q1,q2,q3,q4,q5,q6,q1d,q2d,q3d,q4d,q5d,q6d
0,0,0,0,0,0,0,-1.77635683940025e-14,-3.5527136788005e-15,-3.5527136788005e-14,1.06581410364015e-14,-3.5527136788005e-15,-1.06581410364015e-14
0.1,0.00042787098486663,0.000822083793256212,0.000492506428119377,-0.000305422548411149,0.000527937589422933,0.000671016527509671,0.0122268593497239,0.0237929897294542,0.0138699049550652,-0.00944192671077992,0.0152497066117796,0.0195138115139599
0.2,0.00295150346632411,0.00589268144988964,0.00324342916967041,-0.00264551916425443,0.00376344336616752,0.00488153144534431,0.0397200324087841,0.0816739728532188,0.0419656196994325,-0.0414903867093237,0.0519612417442801,0.0684279444703328
0.3,0.00848110816756176,0.0176675530551744,0.00878726408351671,-0.00946614733329021,0.0112254250944799,0.0148831481262226,0.0705781117014901,0.154960666283378,0.0672616133371022,-0.0993112850414963,0.0978954033421111,0.133185833643122
0.4,0.0168671293427638,0.0368572088702148,0.0161802575542325,-0.0233694829610032,0.0233047326085152,0.0316404096308984,0.0955262772892205,0.227520664535213,0.0772461900550212,-0.182883071526831,0.142767404628422,0.201651838678803
0.5,0.0271667997848475,0.0627068608458901,0.0234566892077748,-0.0468037076346937,0.0394694181511288,0.0549870396412668,0.107975774395854,0.286248528398501,0.0639849305160496,-0.289195354057883,0.178429593378588,0.26338812902209
0.6,0.0379110879030682,0.0933170169782294,0.0280810749207205,-0.0817812846926662,0.0584840268881828,0.0838077713018031,0.103972266599349,0.321397728562564,0.0239754624398145,-0.412619108720774,0.198968047344376,0.309886862875743
0.7,0.0473610227494188,0.125989201071627,0.0273755729105112,-0.12964192708889,0.0786339993183836,0.116240519823176,0.0820360401562112,0.326748867242285,-0.042201368157329,-0.545425691631021,0.200707745431757,0.334742568678632
0.8,0.0537429784820525,0.157579883173232,0.0189029980782145,-0.190873608908534,0.0979459860503775,0.149892274803157,0.0429029376484777,0.299604948999686,-0.13041664423487,-0.678422711473345,0.182126015617126,0.333752371977663
0.9,0.0554536624349051,0.184845275965699,0.0007881519762023,-0.265001401577008,0.114395097032943,0.182061023902008,-0.0108197176135256,0.240614373414926,-0.233686298915998,-0.801667659369516,0.143678967045602,0.304935259447394
1,0.0512272127314368,0.204760215616376,-0.0280364725840556,-0.350549747036513,0.126090817581929,0.209955342892655,-0.0750633951792636,0.15343218491269,-0.342983651176976,-0.905215458058788,0.0875503323190117,0.248465740747054
