Symbol,Value
i6_xz,-0.0111118400859313
i6_xy,-0.0209125529123968
i5_xy,-0.020053431883937
h6_z,0.0411380965786874
h6_x,0.0216435702536935
i5_zz + i6_zz,0.128182718906604
i6_yy,0.0269665358935509
i5_yz - (3*h6_y)/25,-0.0478702216823697
i6_yz,-0.039748616145834
i5_xz,-0.0211861235513424
h5_y + h6_y,0.143233715155028
h4_z + h5_z + (3*m6)/25,0.087512526091755
h5_x,0.036140699408914
h4_x,-0.00614589928828631
i4_yz - (27*h5_z)/200 - (81*m6)/5000,-0.0854231619792088
i6_xx + i5_zz,0.14345690116956
i4_xy,0.0548909653245311
i3_xy,0.128097620907263
i4_xz,0.00666740749417073
h3_x,-0.39607853300108
(44*h2_y)/125 + (39*h3_y)/500 + (39*h4_y)/500 + i2_xx + i3_xx + i4_xx + i1_zz + i5_yy + im1 + (484*m2)/15625 + (37729*m3)/100000 + (3167521229518117*m4)/4503599627370496 + (6594044473606305*m5)/9007199254740992 + (6723748142874581*m6)/9007199254740992,8.29318850848023
h3_z + (571*m4)/1000 + (571*m5)/1000 + (571*m6)/1000,-0.159167252262392
i3_yz - (571*h4_y)/1000 - (5554559636413665*m5)/72057594037927936 - (5554559636413675*m6)/72057594037927936,0.0349445121404739
i3_xz,-0.0710663932977918
i2_xz,1.73928102925028
(44*h2_y)/125 + (39*h3_y)/500 + (39*h4_y)/500 + i2_xx + i3_xx + i4_xx + i1_zz + i5_xx - i5_zz + im1 + (484*m2)/15625 + (37729*m3)/100000 + (3167521229518115*m4)/4503599627370496 + (6594044473606305*m5)/9007199254740992 + (6723748142874579*m6)/9007199254740992,8.27116365038919
i3_zz - i3_xx - (5873432504430015*m4)/18014398509481984 - (5873432504430015*m5)/18014398509481984 - (5873432504430013*m6)/18014398509481984,-0.0154219432390668
i2_yz - (613*h4_y)/1000 - (613*h3_y)/1000 + (3025734402449617*m3)/36028797018963968 + (6051468804899241*m4)/72057594037927936 + (2826963529296539*m5)/2305843009213693952 + (2826963529296495*m6)/2305843009213693952,-3.28202016982989
i4_yy - (39*h3_y)/500 - (39*h4_y)/500 - i2_xx - i3_xx - i4_xx - i1_zz - (44*h2_y)/125 - im1 - (484*m2)/15625 - (37729*m3)/100000 - (791880307379529*m4)/1125899906842624 - (6594044473606305*m5)/9007199254740992 - (1648511118401577*m6)/2251799813685248,-8.22628843078796
i2_xy,1.14636289770019
i2_zz - i2_xx - (6769252513509535*m3)/18014398509481984 - (6769252513509537*m4)/18014398509481984 - (211539141047173*m5)/562949953421312 - (6769252513509541*m6)/18014398509481984,-4.56755965273432
i3_yy + (2936716252215007*m4)/9007199254740992 + (5873432504430015*m5)/18014398509481984 + (1468358126107503*m6)/4503599627370496,0.218619220025307
im6,2.69224231362506e-08
im5,7.13678679790056e-08
im3,8.2443009697112e-09
im4,2.33034422941404e-07
i2_yy + im2 + (6769252513509537*m3)/18014398509481984 + (3384626256754767*m4)/9007199254740992 + (1692313128377383*m5)/4503599627370496 + (6769252513509531*m6)/18014398509481984,5.89296712394014
h2_z + (613*m3)/1000 + (613*m4)/1000 + (613*m5)/1000 + (613*m6)/1000,1.04417926702725
h2_x,-0.114821942708057
(44*h2_y)/125 + (39*h3_y)/500 + (39*h4_y)/500 + i2_xx + i3_xx + i1_zz + i4_zz + im1 + (484*m2)/15625 + (37729*m3)/100000 + (3167521229518117*m4)/4503599627370496 + (1648511118401577*m5)/2251799813685248 + (6594044473606309*m6)/9007199254740992,8.23608207253209
