-0.029296398,-1.594853401,0.067082889,-1.508828402,-0.058296908,-0.034239423
-0.068653941,-1.605785131,0.134196803,-1.442459345,-0.119367123,-0.04390341
-0.10866069,-1.614084005,0.200142443,-1.376242638,-0.182070822,-0.04306554
-0.13493529,-1.622126222,0.264861077,-1.310404778,-0.244904652,-0.034607574
-0.134433776,-1.627840638,0.328506947,-1.245108128,-0.307734758,-0.023103779
-0.116961397,-1.631492138,0.389239877,-1.18026185,-0.370563835,-0.008768595
-0.091441266,-1.631018877,0.434365243,-1.115711808,-0.433392793,0.012913771
-0.065411828,-1.628388405,0.461446136,-1.051577687,-0.496221751,0.036068514
-0.042336538,-1.623980284,0.472513765,-0.987827122,-0.559050441,0.052872784
-0.02295897,-1.617386699,0.469939172,-0.924397945,-0.621878803,0.059617724
-0.007650393,-1.608189821,0.455847025,-0.861232877,-0.684706867,0.056625396
0.003488068,-1.59605968,0.432030618,-0.798281729,-0.747534931,0.046772093
0.009625175,-1.580949545,0.400666237,-0.735450029,-0.801117539,0.0330627
0.008980838,-1.56286788,0.363666445,-0.672620773,-0.817539215,0.017778087
0.005898986,-1.541711569,0.321395606,-0.609791517,-0.811644912,0.005783692
0.004382365,-1.517346978,0.274470866,-0.546962261,-0.803913832,-0.000225976
0.005217855,-1.489629388,0.223491669,-0.484133065,-0.800186276,-0.000953529
0.00760099,-1.45842135,0.168990061,-0.421304107,-0.798532128,0.00133483
0.010599196,-1.423669457,0.111488588,-0.358475178,-0.796809316,0.004395135
0.013581323,-1.385343194,0.051551826,-0.295646518,-0.79467082,0.00670211
0.016084658,-1.344033837,-0.008492297,-0.232816577,-0.791757941,0.006946253
0.019358082,-1.302178383,-0.056671787,-0.169983447,-0.786869884,0.003169816
0.024888774,-1.260290623,-0.084376,-0.107150421,-0.783652902,-0.003667857
0.031251591,-1.218403459,-0.089043945,-0.044317849,-0.782639921,-0.012268941
0.036852907,-1.176516891,-0.073301896,0.007880618,-0.788269639,-0.012463126
0.040619738,-1.134630322,-0.044696506,0.021112658,-0.799754798,0.011659891
0.039692264,-1.092743754,-0.010540322,0.013152673,-0.793617666,0.033158939
0.034772418,-1.050857186,0.022698706,-0.001319148,-0.778807878,0.039157685
0.02726849,-1.008970618,0.049967613,-0.012285908,-0.770084262,0.028812487
0.018262735,-0.967084467,0.068035424,-0.016018519,-0.772865653,0.009403835
0.008518293,-0.925198495,0.075650342,-0.01411758,-0.78288728,-0.009300721
-0.001351121,-0.883312523,0.07339076,-0.010155452,-0.792740822,-0.020585759
-0.01076822,-0.841426849,0.063365273,-0.006782721,-0.797858417,-0.023078738
-0.019188382,-0.799541473,0.04874447,-0.004763945,-0.798110425,-0.019512696
-0.026448883,-0.761249542,0.040538937,-0.006346968,-0.794261396,-0.014868649
-0.033019591,-0.735715866,0.05742541,-0.01400055,-0.787574232,-0.015777381
-0.038534928,-0.717699051,0.082269937,-0.01905874,-0.787087858,-0.02083418
-0.042866755,-0.703731537,0.102735788,-0.019380128,-0.793731153,-0.025292309
-0.046163846,-0.693983078,0.116181165,-0.017733371,-0.801669538,-0.026127668
-0.048535753,-0.689027786,0.122313768,-0.016415155,-0.806174695,-0.023285003
-0.04996388,-0.688951492,0.121252567,-0.015837228,-0.806529462,-0.01872501
-0.050358582,-0.693475723,0.113690883,-0.015315956,-0.804448545,-0.014663817
-0.049623061,-0.702014923,0.100836068,-0.014107859,-0.801841199,-0.012311431
-0.047672797,-0.713741302,0.084139615,-0.011910861,-0.799724042,-0.011635842
-0.044430662,-0.727615356,0.065108567,-0.008841461,-0.798253477,-0.011857541
-0.039824773,-0.742507935,0.045239754,-0.005200495,-0.797223508,-0.012101056
-0.033801604,-0.757287979,0.02596689,-0.001285386,-0.796468198,-0.011803301
-0.026360679,-0.770914078,0.008589275,0.002654548,-0.795934141,-0.010802926
-0.01760136,-0.782516479,-0.005816254,0.00637759,-0.795587003,-0.009238543
-0.00776105,-0.791431427,-0.01646914,0.009614095,-0.795306623,-0.007408248
0.002769275,-0.797237396,-0.02292325,0.012084916,-0.794896543,-0.005668016
0.013466039,-0.799776077,-0.025068361,0.013562754,-0.794185102,-0.004363867
0.023728497,-0.799137115,-0.023111839,0.01393865,-0.79310745,-0.003770971
0.032953449,-0.795625687,-0.017534692,0.013255432,-0.791762769,-0.004037485
0.040607519,-0.789726257,-0.00902674,0.01169382,-0.79036659,-0.005147964
0.046281047,-0.782045364,0.001585175,0.009519771,-0.789176404,-0.006923393
0.049715109,-0.773265839,0.013408412,0.00702481,-0.788403928,-0.009069204
0.050802656,-0.764089584,0.025542516,0.004475191,-0.788184583,-0.011248618
0.049575038,-0.755176544,0.037136216,0.002081208,-0.788531721,-0.013161957
0.046176977,-0.747125626,0.04744174,-1.47E-05,-0.789370954,-0.014605373
0.040841766,-0.740411758,0.055849452,-0.001727674,-0.790574491,-0.015494823
0.033869572,-0.735385895,0.061924357,-0.003021407,-0.791989744,-0.015854001
0.025608707,-0.732255936,0.065423034,-0.003888118,-0.793490827,-0.015781641
0.016441751,-0.731081009,0.066299699,-0.004339025,-0.794967115,-0.015404135
0.006774891,-0.731777191,0.064699434,-0.004397885,-0.796359479,-0.014837146
-0.00297182,-0.734136581,0.060938668,-0.004095332,-0.79764694,-0.014163762
-0.012374102,-0.737861633,0.0554672,-0.003468798,-0.798829496,-0.013424575
-0.021015424,-0.742574692,0.04881997,-0.002566279,-0.799920499,-0.012622386
-0.028503019,-0.747858047,0.041573238,-0.001450766,-0.800912321,-0.011741936
-0.034487907,-0.753288269,0.034299683,-0.000203774,-0.80177635,-0.0107719
-0.038687769,-0.758453369,0.027526926,0.001080639,-0.802457273,-0.009727418
-0.040910903,-0.763004303,0.021706175,0.002301066,-0.802884519,-0.008661121
-0.041075651,-0.766662598,0.017179441,0.003362826,-0.802991331,-0.007661715
-0.039223138,-0.769233704,0.014165815,0.004187941,-0.802741468,-0.006840095
-0.035517398,-0.770616531,0.012760546,0.004724606,-0.802117765,-0.006307065
-0.030233089,-0.770811081,0.012934711,0.00495392,-0.801167905,-0.006146595
-0.023731474,-0.769906998,0.014544334,0.004894658,-0.799975812,-0.006395549
-0.016428355,-0.768064499,0.017349189,0.004594474,-0.79865402,-0.007028922
-0.008759771,-0.765508652,0.021041697,0.004118114,-0.797315061,-0.007963911
