time,q1,q2,q3,q4,q5,q6,q1d,q2d,q3d,q4d,q5d,q6d,q1d2,q2d2,q3d2,q4d2,q5d2,q6d2
0.1,0.000273772219827606,-1.5704451547396,8.68081775067253e-05,-1.57067026642428,7.28851048705792e-05,4.69930680395692e-05,0.00808494883179378,0.0103872496920872,0.00253614942092639,0.00374969000381498,0.00213461566956319,0.00123612935447426,0.156559751179191,0.201821946133802,0.0480021285675274,0.0736807680282957,0.0406300536916846,0.0178715853436211
0.11,0.000362683557682431,-1.57033088592607,0.000114635530483298,-1.57062896984689,9.63198050882852e-05,6.02426905942366e-05,0.0097205753451135,0.0124968862271295,0.00303582891689658,0.00452115281246179,0.00255797907327526,0.00141311203933014,0.17051371003795,0.220045868595088,0.0519067787866103,0.0805971438294201,0.0440228894517607,0.0174618230513373
0.12,0.000468643673286806,-1.57019461550075,0.000147652213101424,-1.57057961429429,0.000124155811718651,7.52353642212711e-05,0.0114941857479511,0.0147869770200231,0.00357374570219804,0.00536133721228893,0.00301468044078312,0.00158411336782649,0.184156485605295,0.237912779467774,0.055649641524254,0.0874248197768316,0.0472978205467149,0.0166763282690257
0.13,0.000593016842344696,-1.57003455677341,0.000186232514494122,-1.57052151701213,0.00015672062663441,9.18925905182277e-05,0.0134026670076768,0.0172539514879624,0.00414828359764741,0.0062693482395062,0.00350354598205804,0.00174540653073763,0.197487848407647,0.255422593390316,0.0592310602032928,0.0941622057766686,0.0504559016608135,0.0155212130564095
0.14,0.000737136199759902,-1.56984895876273,0.000230734579620417,-1.57045400427492,0.000194330066904058,0.000110098909345879,0.0154429041114117,0.0198942384355263,0.00475782998729812,0.00724427511900672,0.00402341255403371,0.00189332610466408,0.210507631908714,0.27257527323327,0.0626514040547568,0.100807729751592,0.0534982074361721,0.0140026422698183
0.15,0.000902303722909892,-1.56963610620086,0.000281500446121186,-1.5703764115432,0.000237288372261446,0.000129702515323515,0.0176117806965896,0.0227042665377866,0.00540077607686484,0.00828519144744178,0.00457312785811936,0.00202426857244831,0.223215732744815,0.289370830246491,0.0659110682071895,0.107359838237239,0.0564258320507056,0.0121268320371604
0.16,0.00108979022171241,-1.56939431953145,0.000338856083956784,-1.57028808361892,0.000285888314408567,0.00015051587978121,0.0199061796837769,0.0256804648248306,0.00607551715324206,0.00939115538238511,0.00515155063339634,0.00213469282811474,0.235612110941018,0.305809324195203,0.069010473768683,0.113816996972961,0.0592398887916161,0.00990004821967005
0.17,0.00130083533400693,-1.56912195490433,0.000403111437393022,-1.57018837479882,0.000340411308442867,0.000172316376790604,0.022322983911562,0.0288192631674207,0.0067804528445663,0.0105612098372383,0.00575755084556562,0.00222112066653324,0.247696790108017,0.321890863484964,0.071950067901575,0.12017769148667,0.0619415096246243,0.0073286048608745
0.18,0.00153664752856741,-1.56881740416414,0.000474560469786667,-1.57007664902589,0.000401127526082234,0.000194846915164248,0.0248590767733159,0.0321170927641035,0.00751398738121978,0.0117943826820373,0.00639000987158234,0.00228013725737952,0.259469857619638,0.337615605275407,0.0747303238897687,0.1264404276736,0.0645318447590433,0.00441886262317315
0.19,0.00179840411331611,-1.56847909483506,0.000553481210911144,-1.56995228003881,0.000468296010510016,0.000217816573993446,0.0275113428556351,0.0355703866292139,0.00827452985718935,0.013089686950007,0.0070478206798672,0.00230839160358443,0.270931464770896,0.352983755582769,0.0773517411986355,0.132603732368811,0.067012062208879,0.0011772272124988
0.2,0.00208725125085607,-1.5681054900999,0.000640135806865061,-1.56981465151919,0.000542164793401412,0.000240901243500957,0.030276668578253,0.039175580081924,0.00906049449233848,0.0144461210497902,0.0077298880061818,0.00230259698361124,0.282081826916555,0.367995569371136,0.079814845527463,0.138666153913249,0.0693833473500605,-0.00238985220856414
0.21,0.00240430397967373,-1.56769508877477,0.000734770572687893,-1.56966315723679,0.000622971013271467,0.000263744269815902,0.0331519428352482,0.0429291112361021,0.00987030089481067,0.015862668983285,0.00843512852498307,0.00225953137830004,0.292921223590069,0.382651350632408,0.082120188854401,0.144626262713189,0.0716469024740243,-0.00627588461870854
0.22,0.00275064624231902,-1.56724642527861,0.000837616047530076,-1.56949720119246,0.000710941035791279,0.000285957104161128,0.0361340576373657,0.0468274214909812,0.0107023743241399,0.017338300569083,0.00916247101634671,0.00217603788124876,0.303449998602904,0.396951452454896,0.0842683494738923,0.150482651792876,0.0738039463377103,-0.0104743387464872
0.23,0.00312733091965356,-1.56675806959784,0.000948887052480529,-1.56931619775883,0.000806290575610547,0.000307119955806456,0.039219908755177,0.0508669560224035,0.0115551459544783,0.0188719716713983,0.0099108565283732,0.00204902509321414,0.313668560124123,0.410896277080598,0.0862599320265338,0.156233937340206,0.0758557137101987,-0.0149786446890952
0.24,0.0035353798718063,-1.56622862724628,0.00106878275108357,-1.56911957181867,0.000909224819942267,0.000326782449299401,0.0424063963630017,0.055044164274598,0.0124270531382074,0.0204626244343835,0.0106792385349861,0.00187546750048284,0.323577380740241,0.424486275951038,0.0880955675213584,0.16187875924526,0.0778034549161051,-0.0197821955409143
0.25,0.00397578398532517,-1.56565673921982,0.00119748671233211,-1.56890675890092,0.00101993855338378,0.000344464284872004,0.045690425683282,0.0593555004523481,0.0133165396697557,0.0221091875218171,0.0114665830892475,0.0016524058365377,0.333176997495276,0.43772194974173,0.0897759133504925,0.167415781631524,0.0796484353758844,-0.0248783490313427
0.26,0.00444950322683724,-1.56504108194662,0.00133516697652425,-1.56867720531428,0.00113861628474865,0.000359655902776979,0.0490689076312787,0.063797424013476,0.0142220560493378,0.0238105763620773,0.0122718689719559,0.00137694742745964,0.342468011910926,0.45060384838518,0.0913016532961817,0.172843693379637,0.0813919351432135,-0.030260429171526
0.27,0.00495746670341646,-1.56438036723165,0.00148197612357137,-1.56843036827828,0.00126543237465881,0.000371819150927877,0.0525387594598721,0.0683664001614162,0.0151420597470349,0.0255656933982671,0.0130940878356851,0.00104626652105821,0.351451089986921,0.463132571082466,0.0926734975301446,0.178161208643489,0.0830352484396024,-0.0359217279094599
0.28,0.00550057272891991,-1.56367334219735,0.00163805134403816,-1.5681657160519,0.00140055116546023,0.000380387955651429,0.0560969054042548,0.073058900338058,0.0160750154664804,0.0273734283435303,0.0139322443441126,0.000657604598956141,0.360126962181454,0.475308766303316,0.0938921826052515,0.183367067358513,0.0845796831863761,-0.041855506793091
0.29,0.00607968889720212,-1.56291878921835,0.00180351451278682,-1.56788272805955,0.00154412711160035,0.00038476899538864,0.0597402773263376,0.0778714027161946,0.0170193954087487,0.0292326584413516,0.0147853563066667,0.000208270672310107,0.368496423371699,0.487133131774757,0.094958471439496,0.188460035742008,0.0860265605342021,-0.0480549986408789
0.3,0.00669565216149692,-1.56211552585189,0.00197847226526982,-1.56758089501444,0.00169630491188855,0.000384342377586222,0.0634658153586534,0.0828003926921319,0.0179736795357499,0.0311422487308697,0.0156524548084587,-0.000304358439137786,0.3765603327944,0.498606414458227,0.0958731532922557,0.193438906785334,0.0873772143903175,-0.0545134092194459
0.31,0.0073492689205068,-1.56126240476307,0.00216301607648539,-1.56725971903931,0.0018572196429929,0.000378462318025186,0.0672704685475889,0.0878423633778098,0.0189363558336275,0.0331010523170114,0.0165325843354838,-0.000882837845132656,0.384319613966548,0.509729410515236,0.0966370437328194,0.198302500737821,0.0886329909435855,-0.0612239189277846
0.32,0.00804131511053185,-1.56035831364521,0.00235722234248037,-1.56691871378436,0.00202699689386776,0.000366457822735811,0.0711511954956912,0.0929938160926085,0.0199059205755816,0.0351079106454684,0.017424802895043,-0.0015296543396417,0.391775254586074,0.520502965261522,0.0972509846011762,0.203049665582246,0.0897952481875874,-0.0681796844876068
