0.01,6.31E-07,7.20E-06,-6.87E-05,0.000123602,-7.67E-05,0.001337484,0.000105249,0.001200792,-0.011442486,0.020600265,-0.012787632,0.222913668,-2.42E-12,3.55E-13,2.13E-13,1.07E-13,1.07E-13,-4.62E-14,-2.42E-12,3.55E-13,2.13E-13,1.07E-13,1.07E-13,-4.62E-14,-2.42E-12,3.55E-13,2.13E-13,1.07E-13,1.07E-13,-4.62E-14
0.020000001,3.52E-06,0.000388738,-0.000935211,0.000221966,-0.000171583,0.003413737,0.000340312,0.047333561,-0.105240904,0.006920184,-0.008477641,0.200884074,0.958437145,0.049461246,0.158332661,-0.071590997,0.078739852,-1.207283258,0.958437145,0.049461246,0.158332661,-0.071590997,0.078739852,-1.207283258,0.958437145,0.049461246,0.158332661,-0.071590997,0.078739852,-1.207283258
0.030000001,9.58E-06,0.000983349,-0.002273269,0.000155171,-0.000199299,0.004803591,0.000677395,0.060444802,-0.137133807,-0.01024106,-0.00120561,0.120600708,1.837655067,-1.141109228,1.752041221,-0.076687828,0.141776964,-2.441688061,1.837655067,-1.141109228,1.752041221,-0.076687828,0.141776964,-2.441688061,1.837655067,-1.141109228,1.752041221,-0.076687828,0.141776964,-2.441688061
0.040000002,1.98E-05,0.00134424,-0.003255046,-6.88E-05,-0.000151703,0.005286091,0.001106152,0.027642922,-0.084084056,-0.025260851,0.006226154,0.030261904,2.633439064,-2.481695175,3.564803839,0.060590796,0.139230654,-2.438962221,2.633439064,-2.481695175,3.564803839,0.060590796,0.139230654,-2.438962221,2.633439064,-2.481695175,3.564803839,0.060590796,0.139230654,-2.438962221
0.050000002,3.48E-05,0.001228846,-0.003414392,-0.000387588,-4.49E-05,0.005086236,0.001607195,-0.021785617,0.002087069,-0.033130929,0.0116776,-0.030739404,3.336015701,-2.504870415,4.09069109,0.267030805,0.101226375,-1.702073216,3.336015701,-2.504870415,4.09069109,0.267030805,0.101226375,-1.702073216,3.336015701,-2.504870415,4.09069109,0.267030805,0.101226375,-1.702073216
0.060000003,5.53E-05,0.000806932,-0.00301525,-0.000712932,9.52E-05,0.004598894,0.002160666,-0.045578647,0.046518363,-0.031918213,0.014455248,-0.051148515,3.941757441,-1.07581985,3.139289856,0.469096154,0.056241829,-0.818178594,3.941757441,-1.07581985,3.139289856,0.469096154,0.056241829,-0.818178594,3.941757441,-1.07581985,3.139289856,0.469096154,0.056241829,-0.818178594
0.070000003,8.16E-05,0.000478034,-0.002732187,-0.000965685,0.000245149,0.004165106,0.002754376,-0.027531072,0.020032788,-0.023266686,0.015025171,-0.039984409,4.451655865,0.613480866,1.827499509,0.609489679,0.023343682,-0.187711984,4.451655865,0.613480866,1.827499509,0.609489679,0.023343682,-0.187711984,4.451655865,0.613480866,1.827499509,0.609489679,0.023343682,-0.187711984
0.080000004,0.00011419,0.000505886,-0.003007911,-0.001104188,0.000391209,0.003968247,0.003385155,0.011104916,-0.040683731,-0.011381266,0.014455924,-0.014051168,4.867556572,1.237579942,1.431545615,0.662522972,0.009776872,0.053537056,4.867556572,1.237579942,1.431545615,0.662522972,0.009776872,0.053537056,4.867556572,1.237579942,1.431545615,0.662522972,0.009776872,0.053537056
0.090000004,0.000153368,0.000813874,-0.003692701,-0.001131997,0.000530558,0.004034363,0.004052759,0.034591082,-0.073373996,-0.000737074,0.013811314,0.011620265,5.189066887,0.51428175,2.241922379,0.638895452,0.012888317,-0.028300229,5.189066887,0.51428175,2.241922379,0.638895452,0.012888317,-0.028300229,5.189066887,0.51428175,2.241922379,0.638895452,0.012888317,-0.028300229
0.100000005,0.000199478,0.001102344,-0.004250083,-0.001082823,0.000667793,0.004286163,0.004752189,0.025668282,-0.04822896,0.006120954,0.013735225,0.028030589,5.41348505,-0.674013257,3.426621914,0.574332774,0.024746859,-0.277177095,5.41348505,-0.674013257,3.426621914,0.574332774,0.024746859,-0.277177095,5.41348505,-0.674013257,3.426621914,0.574332774,0.024746859,-0.277177095
