sim_time_s,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,i1,i2,i3,i4,i5,i6,id1,id2,id3,id4,id5,id6,tau1,tau2,tau3,tau4,tau5,tau6
0.02400000113993883,0.0005986205069348216,-1.5708125829696655,-0.0014067768352106214,-1.595333456993103,0.0010280793067067862,-0.0011623824248090386,0.0425403006374836,-0.03901592642068863,-0.13403582572937012,-0.7074394226074219,0.08881199359893799,-0.09674375504255295,-1.70840585231781,2.853762149810791,3.7992868423461914,18.186729431152344,-0.4974370002746582,0.053059376776218414,-1.70840585231781,2.853762149810791,3.7992868423461914,18.186729431152344,-0.4974370002746582,0.053059376776218414,-1.70840585231781,2.853762149810791,3.7992868423461914,18.186729431152344,-0.4974370002746582,0.053059376776218414
0.04400000208988786,0.0014330762205645442,-1.5720294713974,-0.004882316570729017,-1.5932468175888062,0.003917616326361895,-0.004145034588873386,0.038845524191856384,-0.07561895996332169,-0.17637600004673004,0.4467202126979828,0.1650572419166565,-0.16923463344573975,-2.4526445865631104,10.385140419006348,9.280672073364258,8.966108322143555,-1.4977779388427734,0.13175326585769653,-2.4526445865631104,10.385140419006348,9.280672073364258,8.966108322143555,-1.4977779388427734,0.13175326585769653,-2.4526445865631104,10.385140419006348,9.280672073364258,8.966108322143555,-1.4977779388427734,0.13175326585769653
0.06400000303983688,0.002199566224589944,-1.573952078819275,-0.007635604124516249,-1.5797046422958374,0.007011484820395708,-0.007563450373709202,0.04001759737730026,-0.10296952724456787,-0.11164732277393341,0.7087612748146057,0.13739067316055298,-0.16353513300418854,-3.076590061187744,20.85857391357422,11.73898983001709,-0.19550609588623047,-2.219768762588501,0.18451546132564545,-3.076590061187744,20.85857391357422,11.73898983001709,-0.19550609588623047,-2.219768762588501,0.18451546132564545,-3.076590061187744,20.85857391357422,11.73898983001709,-0.19550609588623047,-2.219768762588501,0.18451546132564545
0.08400000398978591,0.0031826926860958338,-1.57587468624115,-0.008994619362056255,-1.569210410118103,0.008532516658306122,-0.010110637173056602,0.05397411435842514,-0.08806398510932922,-0.04809577390551567,0.38933467864990234,0.039772555232048035,-0.1044469103217125,-4.26040506362915,28.635883331298828,12.311391830444336,-3.621441602706909,-2.2870066165924072,0.1998947113752365,-4.26040506362915,28.635883331298828,12.311391830444336,-3.621441602706909,-2.2870066165924072,0.1998947113752365,-4.26040506362915,28.635883331298828,12.311391830444336,-3.621441602706909,-2.2870066165924072,0.1998947113752365
0.10400000493973494,0.004361284896731377,-1.5771030187606812,-0.009606997482478619,-1.566799521446228,0.008140765130519867,-0.011300494894385338,0.05913389101624489,-0.04606148228049278,-0.02501431107521057,-0.01065048761665821,-0.046310581266880035,-0.03635087609291077,-5.383194923400879,31.786359786987305,12.672298431396484,-2.091082811355591,-1.8770203590393066,0.1892937868833542,-5.383194923400879,31.786359786987305,12.672298431396484,-2.091082811355591,-1.8770203590393066,0.1892937868833542,-5.383194923400879,31.786359786987305,12.672298431396484,-2.091082811355591,-1.8770203590393066,0.1892937868833542
0.12400000588968396,0.005418373271822929,-1.57746160030365,-0.010101000778377056,-1.5698741674423218,0.00678646843880415,-0.011349966749548912,0.0471285842359066,-0.00442917924374342,-0.02479473315179348,-0.2019856572151184,-0.07169684767723083,0.013081986457109451,-5.8138747215271,31.708431243896484,13.38015079498291,0.9715173244476318,-1.4091640710830688,0.16876617074012756,-5.8138747215271,31.708431243896484,13.38015079498291,0.9715173244476318,-1.4091640710830688,0.16876617074012756,-5.8138747215271,31.708431243896484,13.38015079498291,0.9715173244476318,-1.4091640710830688,0.16876617074012756
0.144000006839633,0.006120918318629265,-1.5771678686141968,-0.01056013535708189,-1.5737537145614624,0.005674677900969982,-0.010702421888709068,0.027708593755960464,0.023015087470412254,-0.019668184220790863,-0.1713738739490509,-0.04252343997359276,0.04081729054450989,-5.543485641479492,30.438430786132812,14.040285110473633,2.9473330974578857,-1.1850584745407104,0.14723871648311615,-5.543485641479492,30.438430786132812,14.040285110473633,2.9473330974578857,-1.1850584745407104,0.14723871648311615,-5.543485641479492,30.438430786132812,14.040285110473633,2.9473330974578857,-1.1850584745407104,0.14723871648311615
0.16400000778958201,0.006495950743556023,-1.57648503780365,-0.010720829479396343,-1.575588583946228,0.005427929572761059,-0.00966273806989193,0.013790127821266651,0.03875307738780975,0.0008030739845708013,-0.04612821340560913,0.00371769187040627,0.05745552480220795,-4.964130401611328,29.043378829956055,14.097552299499512,3.187509536743164,-1.2440228462219238,0.12512190639972687,-4.964130401611328,29.043378829956055,14.097552299499512,3.187509536743164,-1.2440228462219238,0.12512190639972687,-4.964130401611328,29.043378829956055,14.097552299499512,3.187509536743164,-1.2440228462219238,0.12512190639972687
0.18400000873953104,0.006725756451487541,-1.575538992881775,-0.010336796753108501,-1.5751041173934937,0.005914735607802868,-0.008307656273245811,0.009835470467805862,0.05107519403100014,0.030666956678032875,0.0548432432115078,0.032423071563243866,0.0736369639635086,-4.404809951782227,27.484310150146484,13.324225425720215,2.374985694885254,-1.433902382850647,0.09884818643331528,-4.404809951782227,27.484310150146484,13.324225425720215,2.374985694885254,-1.433902382850647,0.09884818643331528,-4.404809951782227,27.484310150146484,13.324225425720215,2.374985694885254,-1.433902382850647,0.09884818643331528
0.20400000968948007,0.006973756477236748,-1.5743259191513062,-0.009366433136165142,-1.5734714269638062,0.006577777676284313,-0.00658336840569973,0.012470442801713943,0.06564053148031235,0.058770984411239624,0.08817509561777115,0.03039250709116459,0.09338676929473877,-3.944115161895752,25.330190658569336,11.86713981628418,1.4506919384002686,-1.5618559122085571,0.06551990658044815,-3.944115161895752,25.330190658569336,11.86713981628418,1.4506919384002686,-1.5618559122085571,0.06551990658044815,-3.944115161895752,25.330190658569336,11.86713981628418,1.4506919384002686,-1.5618559122085571,0.06551990658044815
